file,path

GT_W,Right,Right,Right,Right,Right,Right
1,GT_S,Right,Right,Right,Right,Right,Right
2,GT_S_LAA_GT,Right,Right,Right,W: PO.EX.3 PO.S.4,W: PO.S.4 PO.S.5,Right
3,GT_S_LGT_AA,Right,Right,Right,W: PO.S.6 PO.S.4,Right,Right
4,GT_X_AA,Right,Right,Right,W: PO.EX.3 PO.EX.1,Right,Right
5,AA_X_GT,Right,Right,Right,Right,W: PO.EX.2 PO.EX.2:,Right
6,SP_X_AA,Right,W: SP_6 SP_10,Right,Right,Right,Right
7,SN_X_AA,Right,W: SN_6 SN_10,W: SN_6_8 SN_7,W: NP.EX.4 NP.EX.1,Right,W: SN_5 SN_7
8,CT_W,Right,Right,Right,W: CO.W.2 CO.W.1,W: CO.EN.3_CO.EN.4 CO.W.1,Right
9,CT_S,Right,Right,Right,W: CO.S.5 CO.S.1,Right,Right
10,CT_S_AA,Right,Right,Right,Right,Right,Right
11,CT_S_GT,Right,Right,W: CT_4b CT_4a,W: CO.S.5 CO.S.3,W: CO.S.5 CO.S.3,Right
12,CT_E_AA,Right,Right,Right,W: CO.EN.1.2 CO.EN.1,Right,W: CT_7_8 CT_5
13,CT_E_GT,Right,Right,Right,W: CO.EN.1.2 xxxxx,W: CO.EN.2 xxx,Right
14,CT_E_M1,Right,Right,Right,W: M1.EN.2__M1.EN.3__M1.EN.3.1__M1.EN.3.2 M1.EN.1,W: M1.EN.2_M1.EN.3 M1.EN.1,Right
15,CT_E_M1_END,Right,W: CT_7ab M1_7bc_AA,Right,Right,W: M1.EN.1 M1.EN.2__M1.EN.3__M1.EN.3.1__M1.EN.3.2,Right
16,M1_W,Right,Right,Right,Right,Right,Right
17,M1_S,Right,Right,Right,Right,Right,Right
